param_index,log_prob,snowline_rmse_m,snowline_mae_m,snowline_bias_m,snowline_n_years,snowline_passed,area_rmse_km2,area_mae_km2,area_bias_km2,area_n_checkpoints,area_passed,passed_both,MF,MF_grad,r_snow,r_ice,precip_grad,precip_corr,T0,internal_lapse
315,-667.0189204177627,91.01666109764666,68.53982918160092,29.307117029458087,22,False,,,,0,False,False,7.153267466236989,-0.004002137940866541,0.001495124092367634,0.002990248184735268,0.0006305420349471605,1.6900966408248574,0.004385594002469566,-0.005
316,-667.0190831430887,91.05277768241716,68.57324430681754,30.41694377333788,22,False,,,,0,False,False,7.0940266735267485,-0.003929735084708948,0.0015692386310963147,0.0031384772621926293,0.0006837767033026393,1.6453454055105299,0.004029653172431407,-0.005
317,-667.0194549226253,88.563723970528,66.99502314878471,27.266725797089,22,False,,,,0,False,False,7.027226180621299,-0.00397080951965501,0.001858388416975827,0.003716776833951654,0.0007552688802281909,1.5906673267452687,0.0018563524211431225,-0.005
318,-667.0217234975757,92.84930993751408,69.82774950665193,29.16502565191487,22,False,,,,0,False,False,6.991819717495479,-0.003874263603837286,0.0019915927181752505,0.003983185436350501,0.0005957432451215078,1.7436265776711095,0.00528273982161328,-0.005
319,-667.022403441286,92.41793487630521,69.53096447546396,30.917730457223048,22,False,,,,0,False,False,6.989252121310417,-0.0038567941769712673,0.001816729980736799,0.003633459961473598,0.0006521798739517978,1.6745963216047637,0.001662220042821582,-0.005
320,-667.0227334997007,93.77539933156713,70.41710144951782,29.573708387302318,22,False,,,,0,False,False,7.019175471102276,-0.003914901425911777,0.0017844771831621374,0.003568954366324275,0.000526815929524958,1.7848154973737733,0.006062611600270446,-0.005
321,-667.0232206402184,94.15660037237605,70.66419947802298,30.151652365705253,22,False,,,,0,False,False,6.934228536549931,-0.0038893562949191265,0.001964678705723859,0.003929357411447718,0.0005120556397986034,1.787369331405137,0.004641137342783978,-0.005
322,-667.0236199771009,91.48437585554242,68.83705399882813,29.294123093758085,22,False,,,,0,False,False,7.131621173393167,-0.003936093176638164,0.0016383483816200188,0.0032766967632400375,0.0006581757844994374,1.6911239677635894,0.0026731862560181036,-0.005
323,-667.0236412987998,91.83744631585915,69.06917381750719,29.319566042051417,22,False,,,,0,False,False,7.050640245497108,-0.004014776382993427,0.0018836921266306397,0.0037673842532612795,0.0005663670345246217,1.7393795250795838,0.006152226708230195,-0.005
324,-667.0238911746377,91.93405102076005,69.22928023947397,30.79650945920902,22,False,,,,0,False,False,6.914748175289345,-0.003766257345736085,0.0017945355367266255,0.003589071073453251,0.0007231005018094169,1.6129057280471017,0.003444621893792983,-0.005
325,-667.0247970419899,91.45294943234124,68.8681358112809,30.737619579061302,22,False,,,,0,False,False,7.018814808824858,-0.0038521742830375178,0.0016388601418229217,0.0032777202836458434,0.0007061713667778062,1.626500909329007,0.003603194054110064,-0.005
326,-667.0257112769366,93.118729087885,69.9080596339529,31.043797882112987,22,False,,,,0,False,False,6.887321417543437,-0.0037220141964897976,0.0018402926744602963,0.0036805853489205926,0.0006787769719501832,1.6538711288147365,0.006891865708703965,-0.005
327,-667.0271698226405,93.65684330091997,70.36351570383191,31.628930873215438,22,False,,,,0,False,False,6.9306135051621185,-0.003798632476195895,0.0018721834612316912,0.0037443669224633824,0.0006134069637588186,1.7053836431769838,1.0539122773703044e-05,-0.005
328,-667.0276441454313,93.4304626838512,70.26927588356487,31.53164626097172,22,False,,,,0,False,False,7.089720227661407,-0.003866629850082744,0.0015605154703171881,0.0031210309406343763,0.0006135962147042693,1.71734076518902,0.0018399499356583963,-0.005
329,-667.0287139385612,91.21403412726826,68.62848014347382,28.255507539568146,22,False,,,,0,False,False,7.155893847627335,-0.00404199251799862,0.0017460441757250003,0.0034920883514500006,0.0005932473259362363,1.7405801212921015,0.0043520681716434665,-0.005
330,-667.0293099674135,90.74287183156173,68.39661160605012,28.850357692660886,22,False,,,,0,False,False,7.1461436165917345,-0.004069688242924313,0.001636539283389308,0.003273078566778616,0.0005978662781944456,1.7108001789226137,0.00509253275413402,-0.005
331,-667.0295060746517,90.32819923265008,68.00881641287343,27.298601325581526,22,False,,,,0,False,False,7.151182166521423,-0.004062111664626387,0.00175300778627853,0.00350601557255706,0.0006049126751760635,1.7261785318668696,0.0042689822939227,-0.005
332,-667.0296308479161,92.52297049406084,69.50270617308863,29.479243625178867,22,False,,,,0,False,False,7.0895288162048296,-0.004048830163866274,0.0018450707692974724,0.0036901415385949448,0.0005266889261197968,1.7783815402302943,0.005010819223189257,-0.005
