rank,composite_score,snowline_rmse_m,area_rmse_km2,log_prob,selected,MF,MF_grad,r_snow,precip_grad,precip_corr,T0
407,0.9421628450357913,87.19501623545966,0.3811823710509186,-682.6273085276204,False,7.182539917455635,-0.004086050612349778,0.0016292782564343426,0.0007843997843088252,1.5771616214551536,0.00020130585914693647
408,0.9422912194417032,88.48167153428862,0.3760983913818294,-682.6567419471623,False,7.250310771599897,-0.004193839389514617,0.0015729402278496668,0.0006536655638763794,1.6651591947056286,0.0025834499890409843
409,0.9434219791155639,87.8816429796575,0.3785058343892037,-683.0418693330382,False,7.139630379041202,-0.004030658737533217,0.0017097291584702416,0.0007939940427449451,1.5725269575101872,0.008478299148711446
410,0.9439662347545412,88.98904177613367,0.3741434662443449,-682.8642661231717,False,7.277547236162073,-0.004208221172335231,0.0014543217421781947,0.0006169649729388074,1.6883796835994764,0.0009336485852674513
411,0.944110156697711,87.88698411226457,0.3785058343892037,-682.85057149547,False,7.117363395455919,-0.003972646796243456,0.0017240800642359746,0.0008287161819362234,1.556769565179922,0.0011908608449665162
412,0.9444277276239128,87.21259460266666,0.3811823710509186,-683.0259017448087,False,6.970606838741703,-0.003952186490502123,0.001966582970291177,0.0008280621113022598,1.5343099195764567,0.008165595090279355
413,0.945000422084752,88.99706838411177,0.3741434662443449,-682.9309459075229,False,7.283992834959904,-0.004207149581657419,0.0014642651157575227,0.0006278379263434934,1.6816114060338245,0.0019309769204195362
414,0.9450768907804127,88.5032918840439,0.3760983913818294,-683.0465321780055,False,7.376463112132652,-0.004131312931228601,0.0011624858076968525,0.0007460917186821981,1.6128782228107488,0.0009675190646562075
415,0.9456405836679865,89.00203685154621,0.3741434662443449,-682.9833256641276,False,7.072103614069442,-0.003950058614661121,0.0016303369064748917,0.0007713134644588837,1.5721547654426187,0.005486976630590567
416,0.9462223221353997,87.22652293673396,0.3811823710509186,-682.9543810185501,False,7.086869221213975,-0.00403528968034689,0.0017226161369390059,0.0007868413157987185,1.56322244079732,0.001382651333367544
417,0.9462690638974606,88.75940761195703,0.3751222023110159,-682.9375251356979,False,7.0827793824011955,-0.003984927052256709,0.0017865151111640435,0.0007567644336050447,1.593992654783687,0.006971801324676067
418,0.9477499709444862,89.018408377524,0.3741434662443449,-682.8485480151252,False,7.151631765959175,-0.0041123088476660834,0.001739397554224385,0.0006598863485747322,1.6581164515061346,0.0051826326458520745
419,0.9481302042688343,89.02135947133998,0.3741434662443449,-682.4269505471316,False,7.099481883479818,-0.004052641258419473,0.0018198081246453325,0.0006861106376848183,1.6431535593433881,0.0018869969610806326
420,0.9493319512460388,88.53631656079537,0.3760983913818294,-682.703168616611,False,6.952916686755719,-0.003916808968901086,0.0019738064942546444,0.0007711399457206843,1.575357977653059,0.007772346738429848
421,0.9493444324948641,88.53641343114803,0.3760983913818294,-682.8486039119838,False,7.095609166088632,-0.004018886059588927,0.0016459513282917181,0.0007516998908059756,1.582033234156311,0.0031891690937773816
422,0.9507225689403569,88.32324337336122,0.3769836424391203,-683.0105779178742,False,7.0461709560421175,-0.004005308419421435,0.0019791806056161064,0.0007505678513003745,1.6012154751429275,0.010243140341576598
423,0.9510794262834343,88.05806562991253,0.3780432074071248,-683.0614074249786,False,7.183046445594426,-0.004171009820143842,0.0019264279412436016,0.0006759049244868835,1.6646460415359918,0.0023837348116224
424,0.9510875656358002,87.26428340928561,0.3811823710509186,-682.9979381560472,False,6.964158904182315,-0.003955726459049315,0.0019874826430658172,0.0008195118643958261,1.5392162943190175,0.008014350734334777
425,0.9522473671425057,88.55894389320456,0.3760983913818294,-683.0675533592613,False,7.3775203020167694,-0.004132908412229703,0.0011647910787082804,0.0007441283339302669,1.614617423770721,0.0009715052265872755
426,0.9524430941693094,87.95165829694722,0.3785058343892037,-682.8538763298252,False,7.112022075586912,-0.003964684750717135,0.0017266962435464825,0.0008311358674840842,1.555085447754975,0.001145458723655117
427,0.9531367438814754,87.18624877829501,0.3815538406743319,-682.7364115125366,False,7.093270878575301,-0.004024754683566766,0.0018226106887011444,0.0008125208724808085,1.5569241095740227,0.005145765340972146
428,0.9531961078902744,87.18670951844597,0.3815538406743319,-682.7364574974614,False,7.0933026520815785,-0.004024809958041033,0.0018224173137170374,0.0008125037955794078,1.5569085159475806,0.005153730672845072
429,0.9532918299810684,87.28139130189145,0.3811823710509186,-682.812920303704,False,7.092179724920858,-0.004045503096765471,0.0017102547083010795,0.0007775174336242809,1.5658760379003298,0.0025189846630962807
430,0.9538763187507062,89.06595662216162,0.3741434662443449,-682.9644043059164,False,7.246965577153739,-0.004068730325386665,0.001351410538721092,0.0007253985528063625,1.6129032324330483,0.004861259034988137
431,0.9549559891919591,88.57996624255722,0.3760983913818294,-683.039817665882,False,7.370175208405615,-0.004220589088101397,0.00130082606197668,0.0006676416830458572,1.663031852472482,0.00473856389738977
432,0.9558817968957005,88.5871516868998,0.3760983913818294,-683.0255399257055,False,7.3865952003157345,-0.004176039019928737,0.0011598791619643672,0.0007028581403219057,1.6381413004220324,0.003574631037257213
433,0.9567370118868845,87.30813029178564,0.3811823710509186,-682.4731231219911,False,7.07536984186881,-0.004061853112308634,0.0018881230317903486,0.0007597162221825902,1.5873866287018512,0.002842867256114712
434,0.9574125256437788,88.59903208730958,0.3760983913818294,-682.7032327514204,False,6.961166093125676,-0.003918623624104811,0.0019519526246357033,0.000768924233802529,1.577712743550224,0.007512329096761889
435,0.9575224774189179,88.59988545281674,0.3760983913818294,-683.0355660570978,False,7.113990320469986,-0.0040521660958494875,0.0018368121570324935,0.0007120540406111693,1.6309611745269559,0.012288554276371873
436,0.9588743523111616,88.00157303328426,0.3785058343892037,-682.9372913235864,False,7.061154750033308,-0.003921284489358223,0.0017478813364133793,0.0008520750776155744,1.5340119468262814,0.005076671241943696
